id;name;entity_id;parent_id;has_instances;init_state_id;short_name;agregate;base_class_id;target_class_id;criteria_id;data_size;data_precision;min_value;max_value;default_value;autonomous;is_collection;modified;pad_style;pad_char;pad_length;interface;kernel;param_group;tag;validator_id;input_mask;trigger_id;storage_group;init_method_id;lob_storage_group;temp_type;has_type;key_attr;data_precision_min;properties;ods_validfrom;ods_opc;ods_sequenceid
SBE_MAS_TU_ARR;"SBE. Массив ""SBE. UC Список ТУ""";TYPE;;0;;1E+23;;COLLECTION;SBE_MAS_TU;;;;;;;0;0;1,32025E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_MAS_UC_INKAS;SBE. массив банкоматов по уволенным инкассаторам;TYPE;;0;;1E+23;;COLLECTION;SBE_UC_INKASS;;;;;;;0;0;1,36732E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_MASS_IN_JRN;SBE. MASSPAY. Журнал входящих запросов для операций;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,20405E+12;;;;Z#SBE_MASS_IN_JRN#INTERFACE.CLASS#SBE_MASS_IN_JRN;0;MASSPAY;;;;;SMALL;;;;0;;;|Weight 2258658|;1,476E+12;U;3,5215E+15
SBE_MASS_PAR;SBE. Параметры для MASSPAY;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,22754E+12;;;;Z#SBE_MASS_PAR#INTERFACE.CLASS#SBE_MASS_PAR;0;;;;;;SMALL;;;;0;;;|Weight 0|;1,476E+12;U;3,5215E+15
SBE_MASS_PROD;Массив cсылок на продукты;TYPE;;0;;1E+23;;COLLECTION;LINK_PROD;;;;;;;0;0;1,31971E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_MASSPAY__REF;"Ссылка на ""SBE. Справочник ошибок СППН MassPay""";TYPE;;0;;1E+14;REFERENCE;REFERENCE;SBE_MASSPAY_ERRS;;;;;;;0;0;1,20403E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_MASSPAY_ERRS;SBE. Справочник ошибок СППН MassPay;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,20405E+12;;;;Z#SBE_MASSPAY_ERRS#INTERFACE.CLASS#SBE_MASSPAY_ERRS;0;MASSPAY;;;;;SMALL;;;;0;;;|Weight 334|;1,476E+12;U;3,5215E+15
SBE_MASSPAY_TUNE;SBE. Настройки MASSPAY;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,39593E+12;;;;Z#SBE_MASSPAY_TUNE#INTERFACE.CLASS#SBE_MASSPAY_TUNE;0;MASSPAY;;;;;SMALL;;;;0;;;|Weight 218|;1,48447E+12;U;5,3452E+15
SBE_MBK_ALL_KOM;"Массив ""SBE. АС Филиала: комиссии по счетам МБК""";TYPE;;0;;1E+23;;COLLECTION;SBE_MBK_KOMISS;;;;;;;0;0;1,21776E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_MBK_KOM_ARR;"Массив ""SBE. АС Филиала: Выписка по комиссии""";TYPE;;0;;1E+23;;COLLECTION;SBE_MBK_KOM_MOVE;;;;;;;0;0;1,21776E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_MBK_KOM_MOVE;SBE. АС Филиала: Выписка по комиссии;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,21432E+12;;;;Z#SBE_MBK_KOM_MOVE#INTERFACE.CLASS#SBE_MBK_KOM_MOVE;0;;;;;;SMALL;;;;0;;;|Weight 2313138|;1,476E+12;U;3,5215E+15
SBE_MBK_KOMISS;SBE. АС Филиала: комиссии по счетам МБК;TYPE;;1;;1E+23;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,20947E+12;;;;Z#SBE_MBK_KOMISS#INTERFACE.CLASS#SBE_MBK_KOMISS;0;;;;;;SMALL;;;;0;;;|Weight 1171551|;1,476E+12;U;3,5215E+15
SBE_MBK_PVN;SBE. Операции с МБК на ПВН;TYPE;;1;;1E+20;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,47998E+12;;;;Z#SBE_MBK_PVN#INTERFACE.CLASS#SBE_MBK_PVN;0;UC_CARD;;;;;<LIST>;;;;0;;;;1,48505E+12;U;5,3885E+15
SBE_MBK_PVN_ARR;"Массив ""Ссылка на ""SBE. Операции с МБК на ПВН""""";TYPE;;0;;1E+23;;COLLECTION;SBE_MBK_PVN_REF;;;;;;;0;0;1,3153E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_MBK_PVN_REF;"Ссылка на ""SBE. Операции с МБК на ПВН""";TYPE;;1;;1E+14;REFERENCE;REFERENCE;SBE_MBK_PVN;;;;;;;0;0;1,29977E+12;;;;NUMBER;0;;;;;;SMALL;;;;0;;;|Weight 41102641|;1,48447E+12;U;5,3452E+15
SBE_MBKPVN_F_ARR;"Массив ""SBE. Операции с МБК на ПВН. Поле 2""";TYPE;;0;;1E+23;;COLLECTION;SBE_MBKPVN_F2;;;;;;;0;0;1,29284E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_MBKPVN_F2;SBE. Операции с МБК на ПВН. Поле 2;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,29284E+12;;;;Z#SBE_MBKPVN_F2#INTERFACE.CLASS#SBE_MBKPVN_F2;0;;;;;;SMALL;;;;0;;;|Weight 4008|;1,48447E+12;U;5,3452E+15
